Time,Timestamp,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10
0.560,2026-04-09 12:18:26.517811,-22.375912,-4.417375,-17.502316,-12.656161,-4.367883,-10.902214,-17.957962,-0.789521,4.000000,0.000000
0.564,2026-04-09 12:18:26.521811,-17.374933,-2.154530,-13.039927,-5.473573,-2.089904,-10.453009,-12.599523,-0.064491,4.000000,0.000000
0.568,2026-04-09 12:18:26.525811,-6.944862,1.261918,-5.048483,1.400734,-2.730413,-4.600979,-5.682949,-0.514666,4.000000,0.000000
0.572,2026-04-09 12:18:26.529811,0.744940,3.324368,2.560804,2.726537,-2.015064,3.218008,0.643417,0.752433,4.000000,0.000000
0.576,2026-04-09 12:18:26.533811,2.865874,3.387489,5.446995,0.017075,0.876603,9.011917,4.026069,4.492181,4.000000,0.000000
0.580,2026-04-09 12:18:26.537811,5.317198,5.247118,4.416922,-2.898656,4.427115,11.769612,4.277026,9.481450,4.000000,0.000000
0.584,2026-04-09 12:18:26.541811,10.274190,8.854736,5.202641,-0.268589,8.697957,11.210790,5.378680,12.683647,4.000000,0.000000
0.588,2026-04-09 12:18:26.545811,15.007777,11.063779,7.446532,7.145072,12.835416,10.162413,8.981692,14.594060,4.000000,0.000000
0.592,2026-04-09 12:18:26.549811,16.018713,10.970604,9.667216,12.384186,15.239377,9.465195,12.527426,16.116922,4.000000,0.000000
0.596,2026-04-09 12:18:26.553811,12.320297,10.450421,12.692909,16.380041,14.139694,6.923115,14.993258,16.351501,4.000000,0.000000
0.600,2026-04-09 12:18:26.557811,6.287257,9.800848,13.373616,19.238550,10.987822,4.501250,14.958860,17.264902,4.000000,0.000000
0.604,2026-04-09 12:18:26.561811,0.468882,7.222980,10.401892,18.438547,9.165370,3.303510,10.598927,18.638409,4.000000,0.000000
0.608,2026-04-09 12:18:26.565811,-2.217287,3.564294,8.022491,16.273611,8.652992,1.527221,4.772512,20.087610,4.000000,0.000000
0.612,2026-04-09 12:18:26.569811,-1.434515,2.810215,7.282612,13.854054,6.956477,0.227461,2.722635,22.084682,4.000000,0.000000
0.616,2026-04-09 12:18:26.573811,-2.198812,4.038271,5.424811,9.264707,5.777855,0.313613,3.937898,22.034021,4.000000,0.000000
0.620,2026-04-09 12:18:26.577811,-5.365336,2.852193,3.145814,2.885736,7.146514,0.475385,2.230806,19.570597,0.000000,0.000000
0.624,2026-04-09 12:18:26.581811,-7.285865,-1.429606,2.394029,-1.119700,7.437622,-0.182511,-4.029795,15.195148,0.000000,0.000000
0.628,2026-04-09 12:18:26.585811,-8.242488,-7.155169,2.719310,-3.851617,4.876142,-2.397921,-11.807775,8.094336,0.000000,0.000000
0.632,2026-04-09 12:18:26.589811,-9.056082,-11.852574,1.393606,-9.163274,-0.224159,-4.830746,-18.386303,1.331723,0.000000,0.000000
0.636,2026-04-09 12:18:26.593811,-9.886045,-14.228498,-2.203657,-13.622363,-5.908537,-6.001060,-21.408550,-4.650892,0.000000,0.000000
0.640,2026-04-09 12:18:26.597811,-10.689568,-14.087544,-6.921673,-14.798490,-7.691019,-8.175613,-20.690918,-13.706373,0.000000,0.000000
0.644,2026-04-09 12:18:26.601811,-10.621885,-13.238493,-12.843016,-14.162542,-6.716714,-11.035810,-17.606247,-21.091028,0.000000,0.000000
0.648,2026-04-09 12:18:26.605811,-11.171965,-13.277936,-17.140839,-12.932872,-7.334024,-11.695684,-14.544403,-22.105902,0.000000,0.000000
0.652,2026-04-09 12:18:26.609811,-13.514295,-12.739797,-17.884100,-12.883618,-10.248739,-12.307948,-12.984289,-22.540812,0.000000,0.000000
0.656,2026-04-09 12:18:26.613811,-13.050627,-11.514155,-17.542673,-11.745604,-13.172905,-13.889435,-11.314931,-23.006363,0.000000,0.000000
0.660,2026-04-09 12:18:26.617811,-7.795863,-9.802892,-16.008921,-9.618266,-14.243649,-13.413531,-6.618141,-18.471731,0.000000,0.000000
0.664,2026-04-09 12:18:26.621811,-2.469540,-7.151085,-11.809062,-9.970698,-11.749751,-11.808368,-0.363681,-13.042395,0.000000,0.000000
0.668,2026-04-09 12:18:26.625811,1.039084,-3.682891,-8.329577,-9.551130,-6.014868,-10.384382,1.805862,-10.607013,0.000000,0.000000
0.672,2026-04-09 12:18:26.629811,3.230491,0.711373,-4.381284,-6.421951,-1.511849,-6.249689,0.032314,-9.355359,0.000000,0.000000
0.676,2026-04-09 12:18:26.633811,4.626243,6.041078,3.235036,-2.646056,0.418008,1.668700,-1.984581,-6.912035,0.000000,0.000000
0.680,2026-04-09 12:18:26.637811,7.060539,11.315094,10.562381,2.616217,1.488233,8.081790,-1.785754,0.227110,0.000000,0.000000
0.684,2026-04-09 12:18:26.641811,10.415980,14.639318,15.475195,9.021154,4.144630,9.374189,3.185565,10.019786,0.000000,0.000000
0.688,2026-04-09 12:18:26.645811,12.922134,14.290266,17.785782,14.578618,9.510124,8.802045,11.066833,17.086233,0.000000,0.000000
0.692,2026-04-09 12:18:26.649811,14.128906,11.789844,17.238440,18.873423,15.161115,8.962433,15.767695,20.667994,0.000000,0.000000
0.696,2026-04-09 12:18:26.653811,13.559415,10.259964,16.996960,19.797424,18.920633,11.152890,15.519856,20.953766,0.000000,0.000000
0.700,2026-04-09 12:18:26.657811,12.254004,9.249138,19.742352,17.633053,19.451593,15.880994,12.596364,17.110617,0.000000,0.000000
0.704,2026-04-09 12:18:26.661811,11.414836,8.278976,23.827856,15.478023,16.265621,21.177292,8.609647,12.721417,0.000000,0.000000
0.708,2026-04-09 12:18:26.665811,10.219521,6.933462,24.792231,14.290303,11.498602,24.071417,6.965803,10.681816,0.000000,0.000000
0.712,2026-04-09 12:18:26.669811,9.321765,3.704625,19.887400,12.921329,8.792494,20.982321,9.066994,7.407660,0.000000,0.000000
0.716,2026-04-09 12:18:26.673811,7.675861,-0.820358,11.777013,7.791676,5.948126,12.755572,10.331769,2.688510,0.000000,0.000000
0.720,2026-04-09 12:18:26.677811,3.966420,-3.326577,4.696741,-0.372833,-0.161696,2.166536,9.345975,-0.536913,0.000000,0.000000
0.724,2026-04-09 12:18:26.681811,1.262794,-2.502923,-0.031515,-6.969298,-5.714483,-7.806212,6.485847,-2.279965,0.000000,0.000000
